REF. OBJET;PERIODE;PRIME ;PUISS.OBJET;MARQUE.OBJET;USAGE;VALEUR ASSURE;AGE.CONDUCTEUR;AGE.OBJET;SINISTRALITE;NATURE.SIN;DATE.SIN;MONTANT REMBOURSE;SIN.2021
9763TU48;364;419 552;7;VOLKSWAGEN;1;10 000 000;41;37;0;;;0;0
8404TU110;180;329 904;4;VOLKSWAGEN;1;15 000 000;47;18;0;;;0;0
945TU170;364;623 892;5;TOYOTA;1;10 000 000;56;8;0;;;0;0
7475TU173;364;1 600 060;11;KIA ;1;50 000 000;44;8;0;;;0;0
2402TU171;180;518 942;3;CITROEN;1;15 000 000;37;8;0;;;0;0
9047TU192;364;718 052;6;SEAT;1;35 000 000;34;6;1;COMAR / DC;06/04/2021;3 473 599;1
1650TU171;364;524 824;7;CITROEN;14;10 000 000;62;8;0;;;0;0
RS202702;364;546 724;9;HYUNDAI;1;20 000 000;47;21;0;;;0;0
2386TU221;364;1 058 127;10;DONGFENG;3;54 000 000;22;1;0;;;0;0
1620TU221;180;554 925;5;PEUGEOT;1;32 000 000;3;6;0;;;0;0
3377TU205;364;4 646 556;6;NISSAN;1;80 000 000;34;4;0;;;0;0
RS214120;364;746 668;5;PEUGEOT;3;30 000 000;47;6;0;;;0;0
4174TU75;364;566 492;4;PEUGEOT;1;10 000 000;21;27;1;;;0;0
3462TU187;364;858 649;5;RENAULT;4;20 000 000;48;6;0;;;0;0
7813TU97;180;277 406;7;RENAULT;1;10 000 000;57;21;0;;;0;0
3401TU116;364;1 049 209;7;MERCEDES-BENZ;3;11 000 000;46;22;0;BG;04/03/2021;261 000;1
RS214024;364;998 220;6;VOLKSWAGEN;1;50 000 000;41;6;0;;;0;0
7201TU194;364;623 724;4;FIAT;1;20 000 000;60;5;0;;;0;0
1111TU221;364;672 468;5;PEUGEOT;1;50 000 000;56;1;0;;;0;0
7801TU120;364;595 108;4;OPEL;1;15 000 000;21;16;2;;;0;0
606TU185;180;480 798;5;PEUGEOT;3;20 000 000;29;7;0;;;0;0
6815TU191;180;378 273;7;RENAULT;1;8 000 000;43;34;0;;;0;0
9301TU164;364;754 340;5;VOLKSWAGEN;1;50 000 000;27;7;0;;;0;0
9609TU83;179;401 965;6;RENAULT;1;10 000 000;38;24;0;;;0;0
6784TU181;89;208 700;10;SSANGYONG;1;10 000 000;43;7;0;;;0;0
